Abrechnungsnummer;Bezeichnung Abrechnungssparte;Spartennummer;Titel des Werkes;Werk-Nr.;Fassung;Bewertung;Beteiligtenrolle;Kontoart;Anteilart;Nutzungsanzahl;Ausschuettungsbetrag;Nutzer;Geschäftsjahr;Verteilungstermin
5001240001;MOD S: Music-on-Demand (Streaming);12;Nachtlicht;1234567;001;00;1;HK;NA;45230;89,4500;Spotify;2024;01.10.2024
5001240002;MOD S: Music-on-Demand (Streaming);12;Nachtlicht;1234567;001;00;1;HK;NA;12450;28,1200;Apple Music;2024;01.10.2024
5001240003;MOD S: Music-on-Demand (Streaming);12;Nachtlicht;1234567;001;00;1;HK;NA;8920;15,6700;Amazon Music;2024;01.10.2024
5001240004;MOD S: Music-on-Demand (Streaming);12;Nachtlicht;1234567;001;00;1;HK;NA;3200;8,4400;Deezer;2024;01.10.2024
5001240005;MOD S: Music-on-Demand (Streaming);12;Nachtlicht;1234567;001;00;1;HK;NA;1850;6,2100;Tidal;2024;01.10.2024
5001240006;GOP: Gemischte Online-Plattformen;GP;Nachtlicht;1234567;001;00;1;HK;NA;28400;42,1800;YouTube;2024;01.10.2024
5001240007;GOP: Gemischte Online-Plattformen;GP;Nachtlicht;1234567;001;00;1;HK;NA;15600;18,9200;TikTok;2024;01.10.2024
5001240008;GOP: Gemischte Online-Plattformen;GP;Nachtlicht;1234567;001;00;1;HK;NA;4200;5,3400;Instagram;2024;01.10.2024
5001240009;R: Tonrundfunk;R1;Nachtlicht;1234567;001;12;1;HK;NA;12;34,5600;WDR 1Live;2024;01.10.2024
5001240010;R: Tonrundfunk;R1;Nachtlicht;1234567;001;12;1;HK;NA;8;22,3000;SWR3;2024;01.10.2024
5001240011;R: Tonrundfunk;R1;Nachtlicht;1234567;001;12;1;HK;NA;3;8,9000;Bayern 3;2024;01.10.2024
5001240012;FS: Fernsehrundfunk;R5;Nachtlicht;1234567;001;12;1;HK;NA;2;45,0000;ZDF;2024;01.10.2024
